online_order,book_table,rating,votes,location,cost_for_two,type,city,restaurant_type,cuisines,number_of_cuisines_offered
Yes,Yes,4.1,775,Banashankari,800,Buffet,Banashankari,Casual Dining,North Indian,3
Yes,No,4.1,787,Banashankari,800,Buffet,Banashankari,Casual Dining,Chinese,3
Yes,No,3.8,918,Banashankari,800,Buffet,Banashankari,Cafe,Cafe,3
No,No,3.7,88,Banashankari,300,Buffet,Banashankari,Quick Bites,South Indian,2
No,No,3.8,166,Other,600,Buffet,Banashankari,Casual Dining,North Indian,2
Yes,No,3.8,286,Other,600,Buffet,Banashankari,Casual Dining,North Indian,1
No,No,3.6,8,Other,800,Buffet,Banashankari,Casual Dining,North Indian,4
Yes,Yes,4.6,2556,Banashankari,600,Cafes,Banashankari,Casual Dining,Other,3
Yes,No,4.0,324,Banashankari,700,Cafes,Banashankari,Cafe,Cafe,3
Yes,No,4.2,504,Banashankari,550,Cafes,Banashankari,Cafe,Cafe,5
Yes,No,4.1,402,Banashankari,500,Cafes,Banashankari,Cafe,Cafe,1
Yes,Yes,4.2,150,Banashankari,600,Cafes,Banashankari,Cafe,Cafe,3
Yes,Yes,4.2,164,Banashankari,500,Cafes,Banashankari,Cafe,Cafe,4
No,No,4.0,424,Banashankari,450,Cafes,Banashankari,Cafe,Cafe,2
Yes,No,3.8,918,Banashankari,800,Cafes,Banashankari,Cafe,Cafe,3
Yes,No,3.8,90,Banashankari,650,Cafes,Banashankari,Cafe,Cafe,1
Yes,No,3.9,133,Banashankari,800,Cafes,Banashankari,Cafe,Cafe,5
Yes,No,3.8,144,Banashankari,700,Cafes,Banashankari,Cafe,Chinese,3
No,No,3.9,93,Banashankari,300,Cafes,Banashankari,Cafe,Cafe,3
Yes,No,3.1,13,Banashankari,400,Cafes,Banashankari,Cafe,Cafe,4
Yes,No,3.0,62,Banashankari,400,Cafes,Banashankari,Cafe,Cafe,3
Yes,No,3.7,180,Banashankari,500,Cafes,Banashankari,Cafe,Cafe,4
No,No,3.6,28,Banashankari,900,Cafes,Banashankari,Cafe,Cafe,2
Yes,No,3.6,62,Banashankari,600,Cafes,Banashankari,Quick Bites,Other,4
No,No,3.7,31,Banashankari,300,Cafes,Banashankari,Cafe,Cafe,1
No,No,3.2,11,Banashankari,600,Cafes,Banashankari,Cafe,Cafe,2
Yes,No,3.8,75,Banashankari,200,Cafes,Banashankari,Cafe,Cafe,2
No,No,3.3,4,Banashankari,500,Cafes,Banashankari,Cafe,Cafe,3
No,No,3.3,23,Banashankari,550,Cafes,Banashankari,Cafe,Cafe,2
No,No,3.8,148,Other,550,Cafes,Banashankari,Casual Dining,North Indian,4
Yes,No,4.0,219,Other,600,Cafes,Banashankari,Cafe,Cafe,2
Yes,No,2.8,506,Banashankari,500,Delivery,Banashankari,Quick Bites,North Indian,4
Yes,No,3.9,35,Banashankari,500,Delivery,Banashankari,Delivery,Bakery,2
Yes,No,3.9,172,Banashankari,750,Delivery,Banashankari,Delivery,Other,1
Yes,No,4.2,415,Banashankari,500,Delivery,Banashankari,Quick Bites,North Indian,3
Yes,No,3.9,230,Banashankari,650,Delivery,Banashankari,Delivery,Biryani,1
Yes,No,2.8,91,Banashankari,400,Delivery,Banashankari,Quick Bites,North Indian,3
Yes,No,4.2,1647,Banashankari,600,Delivery,Banashankari,Casual Dining,Chinese,3
Yes,No,4.4,4884,Jayanagar,750,Delivery,Banashankari,Casual Dining,North Indian,4
Yes,No,4.0,17,Banashankari,150,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.8,133,Other,200,Delivery,Banashankari,Quick Bites,Street Food,2
No,No,3.9,28,Banashankari,300,Delivery,Banashankari,Other,South Indian,1
Yes,No,3.9,286,Banashankari,500,Delivery,Banashankari,Quick Bites,Other,2
Yes,No,3.9,540,Banashankari,800,Delivery,Banashankari,Quick Bites,Other,2
Yes,Yes,4.6,2556,Banashankari,600,Delivery,Banashankari,Casual Dining,Other,3
No,No,3.8,36,Banashankari,400,Delivery,Banashankari,Delivery,North Indian,3
Yes,No,3.6,244,Other,300,Delivery,Banashankari,Quick Bites,North Indian,2
Yes,No,4.0,804,Other,450,Delivery,Banashankari,Casual Dining,North Indian,4
Yes,No,3.7,679,Other,850,Delivery,Banashankari,Casual Dining,Chinese,2
Yes,No,3.1,245,Other,300,Delivery,Banashankari,Quick Bites,North Indian,4
No,No,3.7,21,Banashankari,450,Delivery,Banashankari,Quick Bites,North Indian,1
Yes,No,4.1,28,Other,150,Delivery,Banashankari,Quick Bites,Fast Food,3
No,No,4.3,345,Banashankari,400,Delivery,Banashankari,Dessert Parlor,Ice Cream,2
Yes,No,4.0,618,Jayanagar,750,Delivery,Banashankari,Casual Dining,Biryani,5
No,No,4.0,1047,Banashankari,450,Delivery,Banashankari,Quick Bites,Other,5
Yes,No,3.9,627,Banashankari,450,Delivery,Banashankari,Delivery,Other,8
Yes,No,3.8,104,Banashankari,300,Delivery,Banashankari,Quick Bites,Biryani,2
Yes,Yes,4.2,354,Banashankari,800,Delivery,Banashankari,Casual Dining,Other,7
No,No,3.6,55,Banashankari,200,Delivery,Banashankari,Quick Bites,Fast Food,2
Yes,No,3.7,17,Banashankari,400,Delivery,Banashankari,Dessert Parlor,Desserts,2
No,No,4.2,244,Banashankari,800,Delivery,Banashankari,Casual Dining,Other,3
Yes,Yes,3.6,163,Other,800,Delivery,Banashankari,Casual Dining,Other,5
Yes,No,3.8,58,Other,150,Delivery,Banashankari,Quick Bites,Chinese,1
No,Yes,4.0,808,Banashankari,850,Delivery,Banashankari,Casual Dining,North Indian,2
No,No,3.7,78,Banashankari,150,Delivery,Banashankari,Bakery,Bakery,1
Yes,No,4.1,1720,Other,400,Delivery,Banashankari,Quick Bites,North Indian,4
Yes,No,3.6,34,Jayanagar,100,Delivery,Banashankari,Quick Bites,South Indian,1
No,No,4.1,868,Banashankari,1200,Delivery,Banashankari,Pub,Continental,6
No,No,3.8,39,Banashankari,300,Delivery,Banashankari,Bakery,Bakery,2
Yes,No,3.2,71,Other,600,Delivery,Banashankari,Quick Bites,Other,3
Yes,No,3.6,6,Banashankari,500,Delivery,Banashankari,Takeaway,Other,3
No,No,4.1,520,Banashankari,300,Delivery,Banashankari,Quick Bites,Biryani,3
No,No,2.9,84,Banashankari,700,Delivery,Banashankari,Delivery,Chinese,4
No,No,3.6,299,Banashankari,300,Delivery,Banashankari,Quick Bites,Fast Food,3
Yes,No,4.1,558,Other,150,Delivery,Banashankari,Quick Bites,South Indian,1
Yes,No,3.6,28,Banashankari,300,Delivery,Banashankari,Quick Bites,Biryani,2
No,No,3.7,22,Banashankari,500,Delivery,Banashankari,Quick Bites,Fast Food,1
No,No,3.8,39,Banashankari,350,Delivery,Banashankari,Quick Bites,South Indian,3
Yes,No,3.8,153,Other,500,Delivery,Banashankari,Other,Other,6
Yes,No,4.2,146,Banashankari,400,Delivery,Banashankari,Beverage Shop,Beverages,3
No,No,3.0,14,Banashankari,200,Delivery,Banashankari,Other,Other,2
No,No,3.8,42,Banashankari,700,Delivery,Banashankari,Casual Dining,North Indian,2
No,No,4.0,66,Banashankari,300,Delivery,Banashankari,Bakery,Bakery,2
Yes,No,4.4,4401,Jayanagar,600,Delivery,Banashankari,Casual Dining,Biryani,3
No,No,3.0,31,Banashankari,200,Delivery,Banashankari,Quick Bites,North Indian,1
No,No,3.0,7,Banashankari,500,Delivery,Banashankari,Dessert Parlor,Desserts,1
